,cured_cases,new_cases,import_cases,local_cases,active_cases,resp_asst_cases,death_cases,date
0,2,4008,5,4003,41087,246,11,20/01/2021
1,2,3170,8,3162,4,260,12,21/01/2021
2,2554,3631,6,3625,42,251,18,22/01/2021
3,4313,4275,11,4264,42,260,7,23/01/2021
4,4427,3346,7,3339,41,265,11,24/01/2021
5,3638,3048,8,3040,41,2,11,25/01/2021
6,4076,3585,2,358,40,280,11,26/01/2021
7,1858,3680,6,3674,42389,314,7,27/01/2021
8,3423,5725,7,5718,45478,301,16,29/01/2021
9,3805,5728,5,5723,47388,319,13,30/01/2021
10,4522,5298,3,5295,48150,313,14,31/01/2021
11,4280,4214,9,4205,48074,316,10,01/02/2021
12,3661,3455,5,3450,47847,327,21,02/02/2021
13,3804,4284,6,4278,48309,307,18,03/02/2021
14,4092,4571,3,4568,48771,308,17,04/02/2021
15,3392,3391,4,3387,48751,310,19,05/02/2021
16,1692,3847,4,3843,50894,305,12,06/02/2021
17,3369,3731,8,3723,51241,292,15,07/02/2021
18,2340,3100,1,3099,51977,282,24,08/02/2021
19,3887,2764,6,2758,50841,289,13,09/02/2021
20,1929,3288,5,3283,52186,285,14,10/02/2021
21,3774,3384,15,3369,51783,259,13,11/02/2021
22,3505,3318,7,3311,51579,258,17,12/02/2021
23,3515,3499,1,3498,51558,263,5,13/02/2021
24,4525,2464,3,2461,49490,260,7,14/02/2021
25,4521,2176,1,2175,47135,260,10,15/02/2021
26,5709,2998,7,2991,41396,231,22,17/02/2021
27,5320,2712,4,2708,38763,227,25,18/02/2021
28,4889,2936,17,2919,36797,220,13,19/02/2021
29,4456,3297,6,3291,33304,209,5,21/02/2021
30,3414,2192,3,2189,32076,199,6,22/02/2021
31,4055,2468,4,2464,30475,196,14,23/02/2021
32,3331,3545,1,3544,30677,189,12,24/02/2021
33,3752,1924,6,1918,28837,205,12,25/02/2021
34,3085,2253,7,2246,27994,201,11,26/02/2021
35,3320,2364,1,2363,27028,190,10,27/02/2021
36,3251,2437,2,2435,26205,202,9,28/02/2021
37,2486,1828,7,1821,25542,198,5,01/03/2021
38,2528,1555,3,1552,24563,204,6,02/03/2021
39,2276,1745,2,1743,24025,195,7,03/03/2021
40,2922,2063,9,2054,23161,193,5,04/03/2021
41,3275,2154,5,2149,22034,184,6,05/03/2021
42,2548,1680,3,1677,21159,172,7,06/03/2021
43,2506,1683,10,1673,20333,174,3,07/03/2021
44,2076,1529,9,1520,19778,160,8,08/03/2021
45,2345,1280,2,1278,18704,155,9,09/03/2021
46,2137,1448,10,1438,180,151,5,10/03/2021
47,2104,1647,5,1642,17544,147,9,11/03/2021
48,2042,1575,7,1568,17074,147,3,12/03/2021
49,1830,1470,12,1458,16711,162,3,13/03/2021
50,1782,1354,14,1340,16279,158,4,14/03/2021
51,1973,1208,9,1199,15511,155,3,15/03/2021
52,1365,1063,4,1059,15204,152,5,16/03/2021
53,1346,1219,7,1212,15075,154,2,17/03/2021
54,1503,1213,6,1207,14782,155,3,18/03/2021
55,1996,1576,11,1565,14360,151,2,19/03/2021
56,1585,1671,2,1669,14442,151,4,20/03/2021
57,1247,1327,11,1316,14518,154,4,21/03/2021
58,1495,1116,8,1108,14134,156,5,22/03/2021
59,1058,1384,9,1375,14454,148,6,23/03/2021
60,1491,1360,1,1359,14504,1,2,25/03/2021
61,1509,1275,32,1243,14269,161,1,26/03/2021
62,1257,1199,5,1194,14209,16,2,27/03/2021
63,1127,1302,9,1293,14380,169,4,28/03/2021
64,1097,941,8,933,14219,166,5,29/03/2021
65,1148,1133,8,1125,14199,161,5,30/03/2021
66,1377,1178,20,1158,14399,163,6,01/04/2021
67,1442,1294,26,1268,14246,168,5,02/04/2021
68,1449,1638,7,1631,14,16,3,03/04/2021
69,1270,1349,7,1342,14,186,2,04/04/2021
70,1294,1070,9,1061,14,180,7,05/04/2021
71,1412,1300,24,1276,14,189,5,06/04/2021
72,1199,1139,13,1126,14,194,4,07/04/2021
73,1175,1285,17,1268,14,186,4,08/04/2021
74,1247,1854,20,1834,14,169,5,09/04/2021
75,1248,1510,5,1505,15,194,8,10/04/2021
76,1052,1317,12,1305,15835,188,4,12/04/2021
77,1290,1767,9,1758,16300,199,12,13/04/2021
78,1485,1889,6,1883,16696,204,8,14/04/2021
79,1259,2148,19,2129,17575,212,10,15/04/2021
80,1524,2551,29,2522,18600,227,2,16/04/2021
81,1832,2331,12,2319,19094,225,5,17/04/2021
82,1427,2195,10,2185,19854,219,8,18/04/2021
83,1402,2078,13,2065,20522,228,8,19/04/2021
84,1592,2341,7,2334,21268,249,3,20/04/2021
85,1910,2340,12,2328,21687,248,11,21/04/2021
86,2541,2875,29,2846,22014,248,7,22/04/2021
87,2341,2847,4,2843,22512,260,8,23/04/2021
88,2292,2717,26,2691,22926,272,11,24/04/2021
89,1853,2690,10,2680,23753,283,10,25/04/2021
90,1803,2776,3,277,24713,300,13,26/04/2021
91,2019,2733,5,2728,25414,294,13,27/04/2021
92,1822,3142,13,3129,26719,306,15,28/04/2021
93,1943,3332,9,3323,28093,309,15,29/04/2021
94,2640,3788,2,3786,29227,328,14,30/04/2021
95,2462,2881,16,2865,29631,337,15,01/05/2021
96,2698,3418,10,3408,30339,345,12,02/05/2021
97,2068,2500,4,2496,30753,352,18,03/05/2021
98,2334,3120,6,3114,31516,338,23,04/05/2021
99,2304,3744,7,3737,32939,328,17,05/05/2021
100,2709,3551,16,3535,3,354,19,06/05/2021
101,3449,4498,5,4493,3,3,22,07/05/2021
102,2719,4519,5,4514,36564,393,25,08/05/2021
103,3211,3733,6,3727,37060,416,26,09/05/2021
104,3454,3807,5,3,37396,434,17,10/05/2021
105,2848,3973,5,3968,38499,453,22,11/05/2021
106,3124,4765,7,4758,40101,469,39,12/05/2021
107,3347,4855,3,4852,41582,481,27,13/05/2021
108,4190,4113,1,4112,41471,482,34,14/05/2021
109,3432,4140,9,4131,42135,503,44,15/05/2021
110,3990,3780,2,3778,41889,520,36,16/05/2021
111,2784,4446,3,4443,43506,522,45,17/05/2021
112,3497,4865,5,4860,44827,531,47,18/05/2021
113,3516,6075,3,6072,47340,559,46,19/05/2021
114,3916,6806,2,6804,50171,587,59,20/05/2021
115,4508,6493,2,6491,52106,643,50,21/05/2021
116,4694,6320,3,6317,53682,652,50,22/05/2021
117,3587,6976,5,6971,57022,681,49,23/05/2021
118,3452,6509,20,6489,60018,711,61,24/05/2021
119,3789,7289,4,7285,63458,726,60,25/05/2021
120,4665,7478,5,7473,66208,756,63,26/05/2021
121,4598,7857,8,7849,69408,771,59,27/05/2021
122,4814,8290,2,8288,72823,808,61,28/05/2021
123,5527,9020,5,9015,76218,844,98,29/05/2021
124,5121,6999,4,6995,78017,846,79,30/05/2021
125,5251,6824,3,6821,79523,851,67,31/05/2021
126,6083,7105,2,7103,80474,872,71,01/06/2021
127,5777,7703,2,7701,82274,878,126,02/06/2021
128,7049,8209,64,8145,83331,880,103,03/06/2021
129,6624,7748,2,7746,84369,883,86,04/06/2021
130,6105,7452,8,7444,85607,886,109,05/06/2021
131,5133,6241,14,6227,86628,890,87,06/06/2021
132,7548,5271,14,5257,84269,902,82,07/06/2021
133,6962,5566,4,5562,82797,903,76,08/06/2021
134,7386,6239,11,6228,81575,905,75,09/06/2021
135,7325,5671,8,5663,79848,911,73,10/06/2021
136,7749,6849,4,6845,78864,912,84,11/06/2021
137,8334,5793,6,5787,76247,914,76,12/06/2021
138,8163,5304,5,5299,73324,917,64,13/06/2021
139,6588,4949,6,4943,71625,921,60,14/06/2021
140,6831,5419,6,5413,70112,922,101,15/06/2021
141,7240,5150,3,5147,67949,924,73,16/06/2021
142,7530,5738,3,5735,66097,909,60,17/06/2021
143,6861,6440,5,6435,65602,894,74,18/06/2021
144,6918,5911,1,5910,64523,886,72,19/06/2021
145,5941,5293,7,5286,63815,880,60,20/06/2021
146,5439,4611,8,4603,62918,880,69,21/06/2021
147,5557,4743,2,4741,62027,875,77,22/06/2021
148,6372,5244,7,5237,60816,879,83,23/06/2021
